"feature","method.x","group1.x","group2.x","p_values.x","logFC","logCPM","Comparison","method.y","group1.y","group2.y","p_values.y","p_adjust","adj_method","pathway_name","pathway_description","pathway_class","pathway_map","pathway_class2","pathway_class3"
"ko03015","edgeR","Control","EBPR",0.000653975413832359,0.995616546758235,0.728835093117946,"Control vs EBPR","edgeR","Control","EBPR",0.000653975413832359,0.00412627344441846,"BH","mRNA surveillance pathway","The mRNA surveillance pathway is a quality control mechanism that detects and degrades abnormal mRNAs. These pathways include nonsense-mediated mRNA decay (NMD), nonstop mRNA decay (NSD), and no-go decay (NGD). NMD is a mechanism that eliminates mRNAs containing premature translation-termination codons (PTCs). In vertebrates, PTCs trigger efficient NMD when located upstream of an exon junction complex (EJC). Upf3, together with Upf1 and Upf2, may signal the presence of the PTC to the 5'end of the transcript, resulting in decapping and rapid exonucleolytic digestion of the mRNA. In the NSD pathway, which targets mRNAs lacking termination codons, the ribosome is believed to translate through the 3' untranslated region and stall at the end of the poly(A) tail. NSD involves an eRF3-like protein, Ski7p, which is hypothesized to bind the empty A site of the ribosome and recruit the exosome to degrade the mRNA from the 3' end. NGD targets mRNAs with stalls in translation elongation for endonucleolytic cleavage in a process involving the Dom34 and Hbs1 proteins.","Genetic Information Processing; Translation","mRNA surveillance pathway","Genetic Information Processing"," Translation"
"ko03022","edgeR","Control","EBPR",1.54320918455707e-13,2.34824714959619,0.758131456678183,"Control vs EBPR","edgeR","Control","EBPR",1.54320918455707e-13,2.27194685504236e-12,"BH","Basal transcription factors",NA,"Genetic Information Processing; Transcription","Basal transcription factors","Genetic Information Processing"," Transcription"
"ko03040","edgeR","Control","EBPR",1.02347943464718e-23,4.98985589823854,-1.51141326877406,"Control vs EBPR","edgeR","Control","EBPR",1.02347943464718e-23,5.42444100363004e-22,"BH","Spliceosome","After transcription, eukaryotic mRNA precursors contain protein-coding exons and noncoding introns. In the following splicing, introns are excised and exons are joined by a macromolecular complex, the spliceosome. The standard spliceosome is made up of five small nuclear ribonucleoproteins (snRNPs), U1, U2, U4, U5, and U6 snRNPs, and several spliceosome-associated proteins (SAPs). Spliceosomes are not a simple stable complex, but a dynamic family of particles that assemble on the mRNA precursor and help fold it into a conformation that allows transesterification to proceed. Various spliceosome forms (e.g. A-, B- and C-complexes) have been identified.","Genetic Information Processing; Transcription","Spliceosome","Genetic Information Processing"," Transcription"
"ko04012","edgeR","Control","EBPR",4.24243428285922e-09,-1.63162052478253,2.6539112645266,"Control vs EBPR","edgeR","Control","EBPR",4.24243428285922e-09,4.88802210851171e-08,"BH","ErbB signaling pathway","The ErbB family of receptor tyrosine kinases (RTKs) couples binding of extracellular growth factor ligands to intracellular signaling pathways regulating diverse biologic responses, including proliferation, differentiation, cell motility, and survival. Ligand binding to the four closely related members of this RTK family -epidermal growth factor receptor (EGFR, also known as ErbB-1 or HER1), ErbB-2 (HER2), ErbB-3 (HER3), and ErbB-4 (HER4)-induces the formation of receptor homo- and heterodimers and the activation of the intrinsic kinase domain, resulting in phosphorylation on specific tyrosine residues (pY) within the cytoplasmic tail. Signaling effectors containing binding pockets for pY-containing peptides are recruited to activated receptors and induce the various signaling pathways. The Shc- and/or Grb2-activated mitogen-activated protein kinase (MAPK) pathway is a common target downstream of all ErbB receptors. Similarly, the phosphatidylinositol-3-kinase (PI-3K) pathway is directly or indirectly activated by most ErbBs. Several cytoplasmic docking proteins appear to be recruited by specific ErbB receptors and less exploited by others. These include the adaptors Crk, Nck, the phospholipase C gamma (PLCgamma), the intracellular tyrosine kinase Src, or the Cbl E3 ubiquitin protein ligase.","Environmental Information Processing; Signal transduction","ErbB signaling pathway","Environmental Information Processing"," Signal transduction"
"ko04020","edgeR","Control","EBPR",0.000101544765860899,-1.05328992091152,3.49900524064706,"Control vs EBPR","edgeR","Control","EBPR",0.000101544765860899,0.000672734073828457,"BH","Calcium signaling pathway","Ca2+ that enters the cell from the outside is a principal source of signal Ca2+. Entry of Ca2+ is driven by the presence of a large electrochemical gradient across the plasma membrane. Cells use this external source of signal Ca2+ by activating various entry channels with widely different properties. The voltage-operated channels (VOCs) are found in excitable cells and generate the rapid Ca2+ fluxes that control fast cellular processes. There are many other Ca2+-entry channels, such as the receptor-operated channels (ROCs), for example the NMDA (N-methyl-D-aspartate) receptors (NMDARs) that respond to glutamate. There also are second-messenger-operated channels (SMOCs) and store-operated channels (SOCs).","Environmental Information Processing; Signal transduction","Calcium signaling pathway","Environmental Information Processing"," Signal transduction"
"ko04080","edgeR","Control","EBPR",5.56559805260136e-23,-2.95342971038813,2.15407985759314,"Control vs EBPR","edgeR","Control","EBPR",5.56559805260136e-23,2.45813913989893e-21,"BH","Neuroactive ligand-receptor interaction",NA,"Environmental Information Processing; Signaling molecules and interaction","Neuroactive ligand-receptor interaction","Environmental Information Processing"," Signaling molecules and interaction"
"ko04110","edgeR","Control","EBPR",2.6000740596952e-17,3.58820020493994,-0.942007356052702,"Control vs EBPR","edgeR","Control","EBPR",2.6000740596952e-17,5.46234717676904e-16,"BH","Cell cycle","Mitotic cell cycle progression is accomplished through a reproducible sequence of events, DNA replication (S phase) and mitosis (M phase) separated temporally by gaps known as G1 and G2 phases. Cyclin-dependent kinases (CDKs) are key regulatory enzymes, each consisting of a catalytic CDK subunit and an activating cyclin subunit. CDKs regulate the cell's progression through the phases of the cell cycle by modulating the activity of key substrates. Downstream targets of CDKs include transcription factor E2F and its regulator Rb. Precise activation and inactivation of CDKs at specific points in the cell cycle are required for orderly cell division. Cyclin-CDK inhibitors (CKIs), such as p16Ink4a, p15Ink4b, p27Kip1, and p21Cip1, are involved in the negative regulation of CDK activities, thus providing a pathway through which the cell cycle is negatively regulated.","Cellular Processes; Cell growth and death","Cell cycle","Cellular Processes"," Cell growth and death"
"ko04111","edgeR","Control","EBPR",1.73980686319463e-25,-7.05378708516588,-1.4674613371577,"Control vs EBPR","edgeR","Control","EBPR",1.73980686319463e-25,1.15262204686644e-23,"BH","Cell cycle - yeast","Mitotic cell cycle progression is accomplished through a reproducible sequence of events, DNA replication (S phase) and mitosis (M phase) separated temporally by gaps (G1 and G2 phases). G1, S, and G2 phases are collectively known as interphase. In yeast Cdc28 is the catalytic subunit of the cyclin-dependent kinase (CDK). At G1 phase Cdc28 associates with G1-cyclins Cln1 to Cln3, while B-type cyclins Clb1 to Clb6 regulate Cdc28 during S, G2, and M phases. Cln3/Cdc28 activity is required for cells to pass through 'start', the commitment point in G1. When Cln3/Cdc28 accumulates more than a certain threshold, SBF (Swi4/Swi6) and MBF (Mbp1/Swi6) are activated, promoting transcription of Cln1, Cln2, and other genes required for S-phase progression. Cln1 and Cln2 interacting with Cdc28 promote activation of B-type cyclin associated CDK, which drives DNA replication and entry into mitosis. Specifically, Cdc28 association with Clb2 and Clb1 promotes entry into mitosis. Cells suffering from DNA damage, spindle misorientation, or spindle assembly defect do not undergo the metaphase-anaphase transition for chromosome segregation and fail to exit from mitosis. The spindle assembly checkpoint activates Mad2, which in turn prevents chromosome segregation by inhibiting degradation of the securin Pds1. Moreover, Pds1 is phosphorylated and stabilized in response to DNA damage in a Chk1-dependent manner. The spindle checkpoint is also involved in the Cdc14 release from the nucleolus. Cdc14 dephosphorylates Swi5, Sic1, and Cdh1, leading to inhibition of Cdc28 and degradation of cyclin required for mitotic exit.","Cellular Processes; Cell growth and death","Cell cycle - yeast","Cellular Processes"," Cell growth and death"
"ko04120","edgeR","Control","EBPR",2.67964201124519e-17,-2.44092251642907,2.22072754154702,"Control vs EBPR","edgeR","Control","EBPR",2.67964201124519e-17,5.46234717676904e-16,"BH","Ubiquitin mediated proteolysis","Protein ubiquitination plays an important role in eukaryotic cellular processes. It mainly functions as a signal for 26S proteasome dependent protein degradation. The addition of ubiquitin to proteins being degraded is performed by a reaction cascade consisting of three enzymes, named E1 (ubiquitin activating enzyme), E2 (ubiquitin conjugating enzyme), and E3 (ubiquitin ligase). Each E3 has specificity to its substrate, or proteins to be targeted by ubiquitination. Many E3s are discovered in eukaryotes and they are classified into four types: HECT type, U-box type, single RING-finger type, and multi-subunit RING-finger type. Multi-subunit RING-finger E3s are exemplified by cullin-Rbx E3s and APC/C. They consist of a RING-finger-containing subunit (RBX1 or RBX2) that functions to bind E2s, a scaffold-like cullin molecule, adaptor proteins, and a target recognizing subunit that binds substrates.","Genetic Information Processing; Folding, sorting and degradation","Ubiquitin mediated proteolysis","Genetic Information Processing"," Folding, sorting and degradation"
"ko04145","edgeR","Control","EBPR",2.14956864250652e-07,1.71732435891176,-0.280394172739846,"Control vs EBPR","edgeR","Control","EBPR",2.14956864250652e-07,1.89878563421409e-06,"BH","Phagosome","Phagocytosis is the process of taking in relatively large particles by a cell, and is a central mechanism in the tissue remodeling, inflammation, and defense against infectious agents. A phagosome is formed when the specific receptors on the phagocyte surface recognize ligands on the particle surface. After formation, nascent phagosomes progressively acquire digestive characteristics. This maturation of phagosomes involves regulated interaction with the other membrane organelles, including recycling endosomes, late endosomes and lysosomes. The fusion of phagosomes and lysosomes releases toxic products that kill most bacteria and degrade them into fragments. However, some bacteria have strategies to escape the bactericidal mechanisms associated with phagocytosis and survive within host phagocytes.","Cellular Processes; Transport and catabolism","Phagosome","Cellular Processes"," Transport and catabolism"
"ko04150","edgeR","Control","EBPR",2.6000740596952e-17,3.58820020493994,-0.942007356052702,"Control vs EBPR","edgeR","Control","EBPR",2.6000740596952e-17,5.46234717676904e-16,"BH","mTOR signaling pathway","The mammalian (mechanistic) target of rapamycin (mTOR) is a highly conserved serine/threonine protein kinase, which exists in two complexes termed mTOR complex 1 (mTORC1) and 2 (mTORC2). mTORC1 contains mTOR, Raptor, PRAS40, Deptor, mLST8, Tel2 and Tti1. mTORC1 is activated by the presence of growth factors, amino acids, energy status, stress and oxygen levels to regulate several biological processes, including lipid metabolism, autophagy, protein synthesis and ribosome biogenesis. On the other hand, mTORC2, which consists of mTOR, mSin1, Rictor, Protor, Deptor, mLST8, Tel2 and Tti1, responds to growth factors and controls cytoskeletal organization, metabolism and survival.","Environmental Information Processing; Signal transduction","mTOR signaling pathway","Environmental Information Processing"," Signal transduction"
"ko04270","edgeR","Control","EBPR",0.00518854250557666,3.15376678104791,-3.53542191948077,"Control vs EBPR","edgeR","Control","EBPR",0.00518854250557666,0.0292545481697407,"BH","Vascular smooth muscle contraction","The vascular smooth muscle cell (VSMC) is a highly specialized cell whose principal function is contraction. On contraction, VSMCs shorten, thereby decreasing the diameter of a blood vessel to regulate the blood flow and pressure.","Organismal Systems; Circulatory system","Vascular smooth muscle contraction","Organismal Systems"," Circulatory system"
"ko04310","edgeR","Control","EBPR",8.2941394209942e-08,1.46472765580215,4.16175103494729,"Control vs EBPR","edgeR","Control","EBPR",8.2941394209942e-08,8.79178778625385e-07,"BH","Wnt signaling pathway","Wnt proteins are secreted morphogens that are required for basic developmental processes, such as cell-fate specification, progenitor-cell proliferation and the control of asymmetric cell division, in many different species and organs. There are at least three different Wnt pathways: the canonical pathway, the planar cell polarity (PCP) pathway and the Wnt/Ca2+ pathway. In the canonical Wnt pathway, the major effect of Wnt ligand binding to its receptor is the stabilization of cytoplasmic beta-catenin through inhibition of the bea-catenin degradation complex. Beta-catenin is then free to enter the nucleus and activate Wnt-regulated genes through its interaction with TCF (T-cell factor) family transcription factors and concomitant recruitment of coactivators. Planar cell polarity (PCP) signaling leads to the activation of the small GTPases RHOA (RAS homologue gene-family member A) and RAC1, which activate the stress kinase JNK (Jun N-terminal kinase) and ROCK (RHO-associated coiled-coil-containing protein kinase 1) and leads to remodelling of the cytoskeleton and changes in cell adhesion and motility. WNT-Ca2+ signalling is mediated through G proteins and phospholipases and leads to transient increases in cytoplasmic free calcium that subsequently activate the kinase PKC (protein kinase C) and CAMKII (calcium calmodulin mediated kinase II) and the phosphatase calcineurin.","Environmental Information Processing; Signal transduction","Wnt signaling pathway","Environmental Information Processing"," Signal transduction"
"ko04330","edgeR","Control","EBPR",1.83231767653901e-10,1.75859857004817,3.99833806841018,"Control vs EBPR","edgeR","Control","EBPR",1.83231767653901e-10,2.20710992855835e-09,"BH","Notch signaling pathway","The Notch signaling pathway is an evolutionarily conserved, intercellular signaling mechanism essential for proper embryonic development in all metazoan organisms in the Animal kingdom. The Notch proteins (Notch1-Notch4 in vertebrates) are single-pass receptors that are activated by the Delta (or Delta-like) and Jagged/Serrate families of membrane-bound ligands. They are transported to the plasma membrane as cleaved, but otherwise intact polypeptides. Interaction with ligand leads to two additional proteolytic cleavages that liberate the Notch intracellular domain (NICD) from the plasma membrane. The NICD translocates to the nucleus, where it forms a complex with the DNA binding protein CSL, displacing a histone deacetylase (HDAc)-co-repressor (CoR) complex from CSL. Components of an activation complex, such as MAML1 and histone acetyltransferases (HATs), are recruited to the NICD-CSL complex, leading to the transcriptional activation of Notch target genes.","Environmental Information Processing; Signal transduction","Notch signaling pathway","Environmental Information Processing"," Signal transduction"
"ko04350","edgeR","Control","EBPR",1.73980686319463e-25,-7.05378708516588,-1.4674613371577,"Control vs EBPR","edgeR","Control","EBPR",1.73980686319463e-25,1.15262204686644e-23,"BH","TGF-beta signaling pathway","The transforming growth factor-beta (TGF-beta) family members, which include TGF-betas, activins and bone morphogenetic proteins (BMPs), are structurally related secreted cytokines found in species ranging from worms and insects to mammals. A wide spectrum of cellular functions such as proliferation, apoptosis, differentiation and migration are regulated by TGF-beta family members. TGF-beta family member binds to the Type II receptor and recruits Type I, whereby Type II receptor phosphorylates and activates Type I. The Type I receptor, in turn, phosphorylates receptor-activated Smads ( R-Smads: Smad1, Smad2, Smad3, Smad5, and Smad8). Once phosphorylated, R-Smads associate with the co-mediator Smad, Smad4, and the heteromeric complex then translocates into the nucleus. In the nucleus, Smad complexes activate specific genes through cooperative interactions with other DNA-binding and coactivator (or co-repressor) proteins.","Environmental Information Processing; Signal transduction","TGF-beta signaling pathway","Environmental Information Processing"," Signal transduction"
"ko04360","edgeR","Control","EBPR",2.67964201124519e-17,-2.44092251642907,2.22072754154702,"Control vs EBPR","edgeR","Control","EBPR",2.67964201124519e-17,5.46234717676904e-16,"BH","Axon guidance","Axon guidance represents a key stage in the formation of neuronal network. Axons are guided by a variety of guidance factors, such as netrins, ephrins, Slits, and semaphorins. These guidance cues are read by growth cone receptors, and signal transduction pathways downstream of these receptors converge onto the Rho GTPases to elicit changes in cytoskeletal organization that determine which way the growth cone will turn.","Organismal Systems; Development and regeneration","Axon guidance","Organismal Systems"," Development and regeneration"
"ko04380","edgeR","Control","EBPR",0.000376652409603146,-1.5862328803343,-2.30311949676671,"Control vs EBPR","edgeR","Control","EBPR",0.000376652409603146,0.00243446069621546,"BH","Osteoclast differentiation","The osteoclasts, multinucleared cells originating from the hematopoietic monocyte-macrophage lineage, are responsible for bone resorption. Osteoclastogenesis is mainly regulated by signaling pathways activated by RANK and immune receptors, whose ligands are expressed on the surface of osteoblasts. Signaling from RANK changes gene expression patterns through transcription factors like NFATc1 and characterizes the active osteoclast.","Organismal Systems; Development and regeneration","Osteoclast differentiation","Organismal Systems"," Development and regeneration"
"ko04510","edgeR","Control","EBPR",3.13888155362561e-14,-2.1509701980215,2.59456128963947,"Control vs EBPR","edgeR","Control","EBPR",3.13888155362561e-14,5.19877257319241e-13,"BH","Focal adhesion","Cell-matrix adhesions play essential roles in important biological processes including cell motility, cell proliferation, cell differentiation, regulation of gene expression and cell survival. At the cell-extracellular matrix contact points, specialized structures are formed and termed focal adhesions, where bundles of actin filaments are anchored to transmembrane receptors of the integrin family through a multi-molecular complex of junctional plaque proteins. Some of the constituents of focal adhesions participate in the structural link between membrane receptors and the actin cytoskeleton, while others are signalling molecules, including different protein kinases and phosphatases, their substrates, and various adapter proteins. Integrin signaling is dependent upon the non-receptor tyrosine kinase activities of the FAK and src proteins as well as the adaptor protein functions of FAK, src and Shc to initiate downstream signaling events. These signalling events culminate in reorganization of the actin cytoskeleton; a prerequisite for changes in cell shape and motility, and gene expression. Similar morphological alterations and modulation of gene expression are initiated by the binding of growth factors to their respective receptors, emphasizing the considerable crosstalk between adhesion- and growth factor-mediated signalling.","Cellular Processes; Cellular community - eukaryotes","Focal adhesion","Cellular Processes"," Cellular community - eukaryotes"
"ko04512","edgeR","Control","EBPR",1.54781123554887e-07,-1.44826381726127,2.96198198680531,"Control vs EBPR","edgeR","Control","EBPR",1.54781123554887e-07,1.46489277650161e-06,"BH","ECM-receptor interaction","The extracellular matrix (ECM) consists of a complex mixture of structural and functional macromolecules and serves an important role in tissue and organ morphogenesis and in the maintenance of cell and tissue structure and function. Specific interactions between cells and the ECM are mediated by transmembrane molecules, mainly integrins and perhaps also proteoglycans, CD36, or other cell-surface-associated components. These interactions lead to a direct or indirect control of cellular activities such as adhesion, migration, differentiation, proliferation, and apoptosis. In addition, integrins function as mechanoreceptors and provide a force-transmitting physical link between the ECM and the cytoskeleton. Integrins are a family of glycosylated, heterodimeric transmembrane adhesion receptors that consist of noncovalently bound alpha- and beta-subunits.","Environmental Information Processing; Signaling molecules and interaction","ECM-receptor interaction","Environmental Information Processing"," Signaling molecules and interaction"
"ko04514","edgeR","Control","EBPR",1.72471878148048e-07,-1.44321492715101,2.93745142614105,"Control vs EBPR","edgeR","Control","EBPR",1.72471878148048e-07,1.57603612790457e-06,"BH","Cell adhesion molecules","Cell adhesion molecules (CAMs) are (glyco)proteins expressed on the cell surface and play a critical role in a wide array of biologic processes that include hemostasis, the immune response, inflammation, embryogenesis, and development of neuronal tissue. There are four main groups: the integrin family, the immunoglobulin superfamily, selectins, and cadherins. Membrane proteins that mediate immune cell&#8211;cell interactions fall into different categories, namely those involved in antigen recognition, costimulation and cellular adhesion. Furthermore cell-cell adhesions are important for brain morphology and highly coordinated brain functions such as memory and learning. During early development of the nervous system, neurons elongate their axons towards their targets and establish and maintain synapses through formation of cell-cell adhesions. Cell-cell adhesions also underpin axon-axon contacts and link neurons with supporting schwann cells and oligodendrocytes.","Environmental Information Processing; Signaling molecules and interaction","Cell adhesion molecules","Environmental Information Processing"," Signaling molecules and interaction"
"ko04530","edgeR","Control","EBPR",1.73980686319463e-25,-7.05378708516588,-1.4674613371577,"Control vs EBPR","edgeR","Control","EBPR",1.73980686319463e-25,1.15262204686644e-23,"BH","Tight junction","Tight junctions (TJs) are essential for establishing a selectively permeable barrier to diffusion through the paracellular space between neighboring cells. TJs are composed of at least three types of transmembrane protein -occludin, claudin and junctional adhesion molecules (JAMs)- and a cytoplasmic 'plaque' consisting of many different proteins that form large complexes. These are proposed to be involved in junction assembly, barrier regulation, cell polarity, gene transcription, and other pathways.","Cellular Processes; Cellular community - eukaryotes","Tight junction","Cellular Processes"," Cellular community - eukaryotes"
"ko04614","edgeR","Control","EBPR",1.34612472317338e-06,1.307029682141,6.72361112888449,"Control vs EBPR","edgeR","Control","EBPR",1.34612472317338e-06,1.04918544600278e-05,"BH","Renin-angiotensin system","The renin-angiotensin system (RAS) is a peptidergic system with endocrine characteristics regarding to the regulation of the blood pressure and hydro-electrolytic balance. In the classical RAS, the enzyme renin cleaves its substrate angiotensinogen (Agt) forming the decapeptide angiotensin I that is in turn cleaved by angiotensin-converting enzyme (ACE) to produce the angiotensin II (Ang II), a key player of this system. Ang II activates its AT1 receptor (AT1R), the principal receptor that mediates the majority of the known actions of Ang II in the kidney, including vasoconstriction, renal sodium (Na+) reabsorption, and aldosterone secretion, increasing blood pressure and contributing to the development of hypertension. In addition to (ACE)/Ang II/AT1R and AT2R axis, other signaling pathways in the RAS, such as ACE2/angiotensin-(1-7)/Mas and Ang IV/IRAP, and other active peptide of the RAS, with physiological relevance as Ang III, Ang A and alamandine, are now widely recognized.","Organismal Systems; Endocrine system","Renin-angiotensin system","Organismal Systems"," Endocrine system"
"ko04660","edgeR","Control","EBPR",2.67964201124519e-17,-2.44092251642907,2.22072754154702,"Control vs EBPR","edgeR","Control","EBPR",2.67964201124519e-17,5.46234717676904e-16,"BH","T cell receptor signaling pathway","Activation of T lymphocytes is a key event for an efficient response of the immune system. It requires the involvement of the T-cell receptor (TCR) as well as costimulatory molecules such as CD28. Engagement of these receptors through the interaction with a foreign antigen associated with major histocompatibility complex molecules and CD28 counter-receptors B7.1/B7.2, respectively, results in a series of signaling cascades. These cascades comprise an array of protein-tyrosine kinases, phosphatases, GTP-binding proteins and adaptor proteins that regulate generic and specialised functions, leading to T-cell proliferation, cytokine production and differentiation into effector cells.","Organismal Systems; Immune system","T cell receptor signaling pathway","Organismal Systems"," Immune system"
"ko04730","edgeR","Control","EBPR",1.73980686319463e-25,-7.05378708516588,-1.4674613371577,"Control vs EBPR","edgeR","Control","EBPR",1.73980686319463e-25,1.15262204686644e-23,"BH","Long-term depression","Cerebellar long-term depression (LTD), thought to be a molecular and cellular basis for cerebellar learning, is a process involving a decrease in the synaptic strength between parallel fiber (PF) and Purkinje cells (PCs) induced by the conjunctive activation of PFs and climbing fiber (CF). Multiple signal transduction pathways have been shown to be involved in this process. Activation of PFs terminating on spines in dendritic branchlets leads to glutamate release and activation of both AMPA and mGluRs. Activation of CFs, which make multiple synaptic contacts on proximal dendrites, also via AMPA receptors, opens voltage-gated calcium channels (VGCCs) and causes a generalized influx of calcium. These cellular signals, generated from two different synaptic origins, trigger a cascade of events culminating in a phosphorylation-dependent, long-term reduction in AMPA receptor sensitivity at the PF-PC synapse. This may take place either through receptor internalization and/or through receptor desensitization.","Organismal Systems; Nervous system","Long-term depression","Organismal Systems"," Nervous system"
"ko04810","edgeR","Control","EBPR",4.90412644773443e-14,-2.13454045699308,2.598924886966,"Control vs EBPR","edgeR","Control","EBPR",4.90412644773443e-14,7.64466769793896e-13,"BH","Regulation of actin cytoskeleton",NA,"Cellular Processes; Cell motility","Regulation of actin cytoskeleton","Cellular Processes"," Cell motility"
